card_number,email,name,address,CVV2,postal_code
5721627011784937,saleh.bakhit@mail.mcgill.ca,saleh bakhit ,"3445 Hutchison Street, H2X 2G2, Montreal, QC, Canada",765,H1A0A1
2903968403676975,afreen.aliya@mail.mcgill.ca ,afreen aliya," 123 random street, H2X 2GG, Montreal, QC, Canada",786,H1A5N4
7654343456547886,sami.sahnoune@mail.mcgill.ca ,sami sahnoune,"3484 rue Hutchison, H2X 2G8, Montreal, QC, Canada",235,H1C1G1
9485938086485604,ahmed.jamoussi@mail.mcgill.ca,jamouss ,"3476 Drummond St, H2X 2G8, Montreal, Q, Canada",234,H1A2H7
6845768947645876,emily.rando@mail.mcgill.ca ,erando,"3477 Drummond St, H2X 2G8, Montreal, Q, Canada",248,H1B5W3
6845768931212321,johnny.smith@mail.mcgill.ca ,johnny smith,"3478 Drummond St, H2X 2G8, Montreal, Q, Canada",123,H1B5W3
2132193231912393,jon.smith@mail.mcgill.ca ,jon smith,"3479 Drummond St, H2X 2G8, Montreal, Q, Canada",322,H1B5W3
1231231212312322,jack.smith@mail.mcgill.ca ,jack smith,"3480 Drummond St, H2X 2G8, Montreal, Q, Canada",121,H1B5W3
3210123921031931,jill.smith@mail.mcgill.ca ,jill smith,"3481 Drummond St, H2X 2G8, Montreal, Q, Canada",123,H1B5W3
1232132193121313,ja.rando@mail.mcgill.ca ,ja rando,"3482 Drummond St, H2X 2G8, Montreal, Q, Canada",719,H1B5W3
8992821829318292,emily.smith@mail.mcgill.ca ,emily smith,"3483 Drummond St, H2X 2G8, Montreal, Q, Canada",231,H1B5W3
1239292912882932,smith.emily@mail.mcgill.ca ,smith emily,"3484 Drummond St, H2X 2G8, Montreal, Q, Canada",222,H1B5W3
2139129123812932,trser.rando@mail.mcgill.ca ,trser,"3485 Drummond St, H2X 2G8, Montreal, Q, Canada",120,H1B5W3
1293129399219312,smads@mail.mcgill.ca ,smads,"3486 Drummond St, H2X 2G8, Montreal, Q, Canada",843,H1B5W3
5721627011784937,testCustomer1@mail.mcgill.ca,test1,"1 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G2
5721627011784937,testCustomer2@mail.mcgill.ca,test2,"2 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G3
5721627011784937,testCustomer3@mail.mcgill.ca,test3,"3 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G4
5721627011784937,testCustomer4@mail.mcgill.ca,test4,"4 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G5
5721627011784937,testCustomer5@mail.mcgill.ca,test5,"5 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G6
5721627011784937,testCustomer6@mail.mcgill.ca,test6,"6 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G7
5721627011784937,testCustomer7@mail.mcgill.ca,test7,"7 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G8
5721627011784937,testCustomer8@mail.mcgill.ca,test8,"8 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G9
5721627011784937,testCustomer9@mail.mcgill.ca,test9,"9 imaginary road, H2X 2G2, Montreal QC, Canada",765,H2X2G10
